id,rename_photo_to,category,group,title,current_image
"cat_b_baby-care_1","cat_b_baby-care_1.jpg","Babies Wears","Baby Care","Plate and Spoon","/images/catalog/web/baby-care.jpg"
"cat_b_cup_1","cat_b_cup_1.jpg","Babies Wears","Cup","Baby Cup with Spoon","/images/catalog/web/cup.jpg"
"cat_b_food-flask_1","cat_b_food-flask_1.jpg","Babies Wears","Food Flask","China - Children Bowl","/images/catalog/web/food-flask.jpg"
"cat_b_spoon_1","cat_b_spoon_1.jpg","Babies Wears","Spoon","Children - 12 Pcs","/images/catalog/web/spoon.jpg"
"cat_b_spoon_2","cat_b_spoon_2.jpg","Babies Wears","Spoon","Children - Swuzzy","/images/catalog/web/spoon.jpg"
"cat_e_adaptor_1","cat_e_adaptor_1.jpg","Electrical Materials and Fittings","Adaptor","Multipurpose - Orange","/images/catalog/web/adaptor.jpg"
"cat_e_adaptor_2","cat_e_adaptor_2.jpg","Electrical Materials and Fittings","Adaptor","Multipurpose - White - 15 A","/images/catalog/web/adaptor.jpg"
"cat_e_battery_1","cat_e_battery_1.jpg","Electrical Materials and Fittings","Battery","Duracell","/images/catalog/web/battery.jpg"
"cat_e_battery_2","cat_e_battery_2.jpg","Electrical Materials and Fittings","Battery","Rechargeable - Blue","/images/catalog/web/battery.jpg"
"cat_e_battery_3","cat_e_battery_3.jpg","Electrical Materials and Fittings","Battery","Rechargeable - DP-Li01","/images/catalog/web/battery.jpg"
"cat_e_battery_4","cat_e_battery_4.jpg","Electrical Materials and Fittings","Battery","Tiger - Big","/images/catalog/web/battery.jpg"
"cat_e_battery_5","cat_e_battery_5.jpg","Electrical Materials and Fittings","Battery","Tiger and Tudor","/images/catalog/web/battery.jpg"
"cat_e_battery_6","cat_e_battery_6.jpg","Electrical Materials and Fittings","Battery","Tiger Head Akaline","/images/catalog/web/battery.jpg"
"cat_e_battery_7","cat_e_battery_7.jpg","Electrical Materials and Fittings","Battery","Tudor - Big","/images/catalog/web/battery.jpg"
"cat_e_battery_8","cat_e_battery_8.jpg","Electrical Materials and Fittings","Battery","Tudor - Small","/images/catalog/web/battery.jpg"
"cat_e_bulb_1","cat_e_bulb_1.jpg","Electrical Materials and Fittings","Bulb","Indicator","/images/catalog/web/bulb.jpg"
"cat_e_bulb-energy-saver_1","cat_e_bulb-energy-saver_1.jpg","Electrical Materials and Fittings","Bulb - Energy Saver","AKT - 10 W","/images/catalog/web/bulb-energy-saver.jpg"
"cat_e_bulb-energy-saver_2","cat_e_bulb-energy-saver_2.jpg","Electrical Materials and Fittings","Bulb - Energy Saver","AVC - 5 W","/images/catalog/web/bulb-energy-saver.jpg"
"cat_e_bulb-energy-saver_3","cat_e_bulb-energy-saver_3.jpg","Electrical Materials and Fittings","Bulb - Energy Saver","Britania - Old Bulb - 100 W","/images/catalog/web/bulb-energy-saver.jpg"
"cat_e_bulb-energy-saver_4","cat_e_bulb-energy-saver_4.jpg","Electrical Materials and Fittings","Bulb - Energy Saver","CY - 10 W","/images/catalog/web/bulb-energy-saver.jpg"
"cat_e_bulb-energy-saver_5","cat_e_bulb-energy-saver_5.jpg","Electrical Materials and Fittings","Bulb - Energy Saver","Ecomin - 15 W","/images/catalog/web/bulb-energy-saver.jpg"
"cat_e_bulb-energy-saver_6","cat_e_bulb-energy-saver_6.jpg","Electrical Materials and Fittings","Bulb - Energy Saver","Ecomin - 5 W","/images/catalog/web/bulb-energy-saver.jpg"
"cat_e_bulb-energy-saver_7","cat_e_bulb-energy-saver_7.jpg","Electrical Materials and Fittings","Bulb - Energy Saver","Ecomin - Pin and Screw - 10 W","/images/catalog/web/bulb-energy-saver.jpg"
"cat_e_bulb-energy-saver_8","cat_e_bulb-energy-saver_8.jpg","Electrical Materials and Fittings","Bulb - Energy Saver","Itel - 10 W","/images/catalog/web/bulb-energy-saver.jpg"
"cat_e_bulb-recheargeable_1","cat_e_bulb-recheargeable_1.jpg","Electrical Materials and Fittings","Bulb - Recheargeable","AKT - 18 W","/images/catalog/web/bulb-recheargeable.jpg"
"cat_e_cello-tape_1","cat_e_cello-tape_1.jpg","Electrical Materials and Fittings","Cello Tape","Black","/images/catalog/web/cello-tape.jpg"
"cat_e_cello-tape_2","cat_e_cello-tape_2.jpg","Electrical Materials and Fittings","Cello Tape","Paper","/images/catalog/web/cello-tape.jpg"
"cat_e_cello-tape_3","cat_e_cello-tape_3.jpg","Electrical Materials and Fittings","Cello Tape","Transparent - Big Roll","/images/catalog/web/cello-tape.jpg"
"cat_e_cello-tape_4","cat_e_cello-tape_4.jpg","Electrical Materials and Fittings","Cello Tape","Transparent - Small Roll","/images/catalog/web/cello-tape.jpg"
"cat_e_charger_3","cat_e_charger_3.jpg","Electrical Materials and Fittings","Charger","Phone - Desktop - Seven Colour","/images/catalog/web/charger.jpg"
"cat_e_charger_4","cat_e_charger_4.jpg","Electrical Materials and Fittings","Charger","Phone - Itel - 10 W","/images/catalog/web/charger.jpg"
"cat_e_charger_1","cat_e_charger_1.jpg","Electrical Materials and Fittings","Charger","Phone - SHPLUS","/images/catalog/web/charger.jpg"
"cat_e_charger_5","cat_e_charger_5.jpg","Electrical Materials and Fittings","Charger","Phone - Small White","/images/catalog/web/charger.jpg"
"cat_e_charger_2","cat_e_charger_2.jpg","Electrical Materials and Fittings","Charger","Phone - Tecnno","/images/catalog/web/charger.jpg"
"cat_e_clip_1","cat_e_clip_1.jpg","Electrical Materials and Fittings","Clip","Iron Clip","/images/catalog/web/clip.jpg"
"cat_e_clip_2","cat_e_clip_2.jpg","Electrical Materials and Fittings","Clip","Rubber - White - 1.5 mm","/images/catalog/web/clip.jpg"
"cat_e_cliper_1","cat_e_cliper_1.jpg","Electrical Materials and Fittings","Cliper","Rechargeable - WK-9400","/images/catalog/web/cliper.jpg"
"cat_e_cord_1","cat_e_cord_1.jpg","Electrical Materials and Fittings","Cord","Oraimo Black","/images/catalog/web/cord.jpg"
"cat_e_cord_2","cat_e_cord_2.jpg","Electrical Materials and Fittings","Cord","USB - SHPLUS White","/images/catalog/web/cord.jpg"
