id,category,group,title,current_price,new_price
"cat_e_adaptor_1","Electrical Materials and Fittings","Adaptor","Multipurpose - Orange",0,
"cat_e_adaptor_2","Electrical Materials and Fittings","Adaptor","Multipurpose - White - 15 A",0,
"cat_k_air-freshner_1","Kitchen Utensils","Air Freshner","Standard",0,
"cat_b_baby-care_1","Babies Wears","Baby Care","Plate and Spoon",0,
"cat_k_bag_1","Kitchen Utensils","Bag","Bagco",0,
"cat_k_bag_2","Kitchen Utensils","Bag","Fancy",0,
"cat_k_bag_3","Kitchen Utensils","Bag","Lunch - Black - Big",0,
"cat_k_bag_4","Kitchen Utensils","Bag","Lunch - Character",0,
"cat_k_bag_5","Kitchen Utensils","Bag","Lunch - Character - 4 Corner",0,
"cat_k_bag_6","Kitchen Utensils","Bag","Lunch - Character - Big",0,
"cat_k_bag_7","Kitchen Utensils","Bag","School - Black - Big",0,
"cat_k_bag_8","Kitchen Utensils","Bag","School - Charater - Big",0,
"cat_k_bag_9","Kitchen Utensils","Bag","School - Charater - Medium",0,
"cat_k_bag_10","Kitchen Utensils","Bag","School - Charater - Small",0,
"cat_k_basket_1","Kitchen Utensils","Basket","Clothe - Big - Lundry - Round",0,
"cat_k_basket_2","Kitchen Utensils","Basket","Clothe - Small - Lundry - Round",0,
"cat_k_basket_3","Kitchen Utensils","Basket","Dustbin - Dustbin",0,
"cat_k_basket_4","Kitchen Utensils","Basket","Food - Food",0,
"cat_k_basket_5","Kitchen Utensils","Basket","Food Basket - OK Product",0,
"cat_k_basket_6","Kitchen Utensils","Basket","Laundry - Round Big",0,
"cat_k_basket_7","Kitchen Utensils","Basket","Laundry - Round Small",0,
"cat_k_basket_8","Kitchen Utensils","Basket","Laundry - Square",0,
"cat_k_basket_9","Kitchen Utensils","Basket","Plate",0,
"cat_k_basket_10","Kitchen Utensils","Basket","School",0,
"cat_k_basket_11","Kitchen Utensils","Basket","School with Cover",0,
"cat_e_battery_1","Electrical Materials and Fittings","Battery","Duracell",0,
"cat_e_battery_2","Electrical Materials and Fittings","Battery","Rechargeable - Blue",0,
"cat_e_battery_3","Electrical Materials and Fittings","Battery","Rechargeable - DP-Li01",0,
"cat_e_battery_4","Electrical Materials and Fittings","Battery","Tiger - Big",0,
"cat_e_battery_5","Electrical Materials and Fittings","Battery","Tiger and Tudor",0,
"cat_e_battery_6","Electrical Materials and Fittings","Battery","Tiger Head Akaline",0,
"cat_e_battery_7","Electrical Materials and Fittings","Battery","Tudor - Big",0,
"cat_e_battery_8","Electrical Materials and Fittings","Battery","Tudor - Small",0,
"cat_k_bbq_1","Kitchen Utensils","BBQ","Charcoal",0,
"cat_k_bbq_2","Kitchen Utensils","BBQ","Electrical",0,
"cat_k_blender_1","Kitchen Utensils","Blender","Master Chef - B115 - 3 in 1 Breakable",0,
"cat_k_blender_2","Kitchen Utensils","Blender","Master Chef - B136 - 2 in 1",0,
"cat_k_blender_3","Kitchen Utensils","Blender","Master Chef - B142 - 3 in 1",0,
"cat_k_blender_4","Kitchen Utensils","Blender","Master Chef - B146 - 3 in 1 Stainless",0,
"cat_k_blender_5","Kitchen Utensils","Blender","Master Chef - B157 - 2 in 1",0,
"cat_k_blender_6","Kitchen Utensils","Blender","Master Chef - B159 - 3 in 1 Breakable",0,
"cat_k_blender_7","Kitchen Utensils","Blender","Master Chef - B181 - 4 in 1 Stainless",0,
"cat_k_blender_8","Kitchen Utensils","Blender","Master Chef - B651 - 2 in 1 Stainless",0,
"cat_k_blender_9","Kitchen Utensils","Blender","Master Chef - BL3302 - 2 in 1",0,
"cat_k_blender_10","Kitchen Utensils","Blender","Rico - 1803 - 3 in 1 - Lock",0,
"cat_k_blender_11","Kitchen Utensils","Blender","Rico - 1907 - 3 in 1 - Unlock",0,
"cat_k_blender_12","Kitchen Utensils","Blender","SMP BL-02 - 2in 1",0,
"cat_k_blender_13","Kitchen Utensils","Blender","VTCL - Excella",0,
"cat_k_blender_14","Kitchen Utensils","Blender","VTCL - 2008 - 4 in 1 - Smart Leaf",0,
"cat_k_boiling-ring_1","Kitchen Utensils","Boiling Ring","Standard",0,
"cat_k_bottle_1","Kitchen Utensils","Bottle","Nice",0,
"cat_k_bowl_1","Kitchen Utensils","Bowl","Hana - 4 in 1",0,
"cat_k_bowl_2","Kitchen Utensils","Bowl","Hana - 5 in 1",0,
"cat_k_bowl_3","Kitchen Utensils","Bowl","SMP - Fashion Bowl",0,
"cat_k_bowl_4","Kitchen Utensils","Bowl","SMP with Cover",0,
"cat_k_bowl_5","Kitchen Utensils","Bowl","Washing Hand Bolw",0,
"cat_k_breakable-plate_1","Kitchen Utensils","Breakable Plate","Awo",0,
"cat_k_breakable-plate_2","Kitchen Utensils","Breakable Plate","Awo - Pieces",0,
"cat_k_broom_1","Kitchen Utensils","Broom","Spinash",0,
"cat_k_brush_1","Kitchen Utensils","Brush","Big - Toilet",0,
"cat_k_brush_2","Kitchen Utensils","Brush","Feeder Brush",0,
"cat_k_brush_3","Kitchen Utensils","Brush","Scrubbing Brush",0,
"cat_k_brush_4","Kitchen Utensils","Brush","Small - Toilet",0,
"cat_k_brush_5","Kitchen Utensils","Brush","Sweeping Brush",0,
"cat_k_brush_6","Kitchen Utensils","Brush","Toilet - Silicon",0,
"cat_k_bucket_1","Kitchen Utensils","Bucket","Standard",0,
"cat_e_bulb_1","Electrical Materials and Fittings","Bulb","Indicator",0,
"cat_e_bulb-energy-saver_1","Electrical Materials and Fittings","Bulb - Energy Saver","AKT - 10 W",0,
"cat_e_bulb-energy-saver_2","Electrical Materials and Fittings","Bulb - Energy Saver","AVC - 5 W",0,
"cat_e_bulb-energy-saver_3","Electrical Materials and Fittings","Bulb - Energy Saver","Britania - Old Bulb - 100 W",0,
"cat_e_bulb-energy-saver_4","Electrical Materials and Fittings","Bulb - Energy Saver","CY - 10 W",0,
"cat_e_bulb-energy-saver_5","Electrical Materials and Fittings","Bulb - Energy Saver","Ecomin - 15 W",0,
"cat_e_bulb-energy-saver_6","Electrical Materials and Fittings","Bulb - Energy Saver","Ecomin - 5 W",0,
"cat_e_bulb-energy-saver_7","Electrical Materials and Fittings","Bulb - Energy Saver","Ecomin - Pin and Screw - 10 W",0,
"cat_e_bulb-energy-saver_8","Electrical Materials and Fittings","Bulb - Energy Saver","Itel - 10 W",0,
"cat_e_bulb-recheargeable_1","Electrical Materials and Fittings","Bulb - Recheargeable","AKT - 18 W",0,
"cat_e_cello-tape_1","Electrical Materials and Fittings","Cello Tape","Black",0,
"cat_e_cello-tape_2","Electrical Materials and Fittings","Cello Tape","Paper",0,
"cat_e_cello-tape_3","Electrical Materials and Fittings","Cello Tape","Transparent - Big Roll",0,
"cat_e_cello-tape_4","Electrical Materials and Fittings","Cello Tape","Transparent - Small Roll",0,
"cat_e_charger_1","Electrical Materials and Fittings","Charger","Phone - SHPLUS",0,
"cat_e_charger_2","Electrical Materials and Fittings","Charger","Phone - Tecnno",0,
"cat_e_charger_3","Electrical Materials and Fittings","Charger","Phone - Desktop - Seven Colour",0,
"cat_e_charger_4","Electrical Materials and Fittings","Charger","Phone - Itel - 10 W",0,
"cat_e_charger_5","Electrical Materials and Fittings","Charger","Phone - Small White",0,
"cat_k_chopper_1","Kitchen Utensils","Chopper","Eurosonic ES-1862 - Glass",0,
"cat_k_cling-film_1","Kitchen Utensils","Cling Film","Standard",0,
"cat_e_clip_1","Electrical Materials and Fittings","Clip","Iron Clip",0,
"cat_e_clip_2","Electrical Materials and Fittings","Clip","Rubber - White - 1.5 mm",0,
"cat_e_cliper_1","Electrical Materials and Fittings","Cliper","Rechargeable - WK-9400",0,
"cat_k_clipper_1","Kitchen Utensils","Clipper","Nova - Mini",0,
"cat_k_comb_1","Kitchen Utensils","Comb","HotComb",0,
"cat_k_container_1","Kitchen Utensils","Container","Salvin - Cereal - 3 in 1",0,
"cat_k_container_2","Kitchen Utensils","Container","Salvin - Fridge - 3 in 1",0,
"cat_k_container_3","Kitchen Utensils","Container","Salvin - Fridge - 5 in 1",0,
"cat_k_container_4","Kitchen Utensils","Container","Salvin - Fridge - Snap and Go - 5 in 1",0,
"cat_k_container_5","Kitchen Utensils","Container","Set - 10 Pcs",0,
"cat_k_cooler_1","Kitchen Utensils","Cooler","Salvin - Party Cooler - 4 in 1 - Round",0,
"cat_k_cooler_2","Kitchen Utensils","Cooler","Salvin - Party Cooler - 4 in 1 - Square",0,
"cat_k_cooler_3","Kitchen Utensils","Cooler","Salvin - Red",0,
"cat_e_cord_1","Electrical Materials and Fittings","Cord","Oraimo Black",0,
"cat_e_cord_2","Electrical Materials and Fittings","Cord","USB - SHPLUS White",0,
"cat_k_cover_1","Kitchen Utensils","Cover","Nylon",0,
