category,id,group,title,status,current_image,suggested_image,suggested_exists
"Electrical Materials and Fittings","cat_e_adaptor_1","Adaptor","Multipurpose - Orange","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/adaptor.jpg",YES
"Electrical Materials and Fittings","cat_e_adaptor_2","Adaptor","Multipurpose - White - 15 A","NO-IMAGE","/images/catalog/electrical-placeholder.svg","/images/catalog/web/adaptor.jpg",YES
"Kitchen Utensils","cat_k_air-freshner_1","Air Freshner","Standard","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/air-freshner.jpg",YES
"Babies Wears","cat_b_baby-care_1","Baby Care","Plate and Spoon","NO-IMAGE","/images/catalog/babies-placeholder.svg","/images/catalog/web/baby-care.jpg",YES
"Kitchen Utensils","cat_k_bag_1","Bag","Bagco","MISMATCH","/images/catalog/bag.png","/images/catalog/web/bag.jpg",YES
"Kitchen Utensils","cat_k_bag_2","Bag","Fancy","MISMATCH","/images/catalog/bag.png","/images/catalog/web/bag.jpg",YES
"Kitchen Utensils","cat_k_bag_3","Bag","Lunch - Black - Big","MISMATCH","/images/catalog/bag.png","/images/catalog/web/bag.jpg",YES
"Kitchen Utensils","cat_k_bag_4","Bag","Lunch - Character","MISMATCH","/images/catalog/bag.png","/images/catalog/web/bag.jpg",YES
"Kitchen Utensils","cat_k_bag_5","Bag","Lunch - Character - 4 Corner","MISMATCH","/images/catalog/bag.png","/images/catalog/web/bag.jpg",YES
"Kitchen Utensils","cat_k_bag_6","Bag","Lunch - Character - Big","MISMATCH","/images/catalog/bag.png","/images/catalog/web/bag.jpg",YES
"Kitchen Utensils","cat_k_bag_7","Bag","School - Black - Big","MISMATCH","/images/catalog/bag.png","/images/catalog/web/bag.jpg",YES
"Kitchen Utensils","cat_k_bag_8","Bag","School - Charater - Big","MISMATCH","/images/catalog/bag.png","/images/catalog/web/bag.jpg",YES
"Kitchen Utensils","cat_k_bag_9","Bag","School - Charater - Medium","MISMATCH","/images/catalog/bag.png","/images/catalog/web/bag.jpg",YES
"Kitchen Utensils","cat_k_bag_10","Bag","School - Charater - Small","MISMATCH","/images/catalog/bag.png","/images/catalog/web/bag.jpg",YES
"Kitchen Utensils","cat_k_basket_1","Basket","Clothe - Big - Lundry - Round","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Kitchen Utensils","cat_k_basket_2","Basket","Clothe - Small - Lundry - Round","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Kitchen Utensils","cat_k_basket_3","Basket","Dustbin - Dustbin","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Kitchen Utensils","cat_k_basket_4","Basket","Food - Food","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Kitchen Utensils","cat_k_basket_5","Basket","Food Basket - OK Product","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Kitchen Utensils","cat_k_basket_6","Basket","Laundry - Round Big","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Kitchen Utensils","cat_k_basket_7","Basket","Laundry - Round Small","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Kitchen Utensils","cat_k_basket_8","Basket","Laundry - Square","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Kitchen Utensils","cat_k_basket_9","Basket","Plate","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Kitchen Utensils","cat_k_basket_10","Basket","School","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Kitchen Utensils","cat_k_basket_11","Basket","School with Cover","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/basket.jpg",YES
"Electrical Materials and Fittings","cat_e_battery_1","Battery","Duracell","MISMATCH","/images/catalog/solar.png","/images/catalog/web/battery.jpg",YES
"Electrical Materials and Fittings","cat_e_battery_2","Battery","Rechargeable - Blue","MISMATCH","/images/catalog/solar.png","/images/catalog/web/battery.jpg",YES
"Electrical Materials and Fittings","cat_e_battery_3","Battery","Rechargeable - DP-Li01","MISMATCH","/images/catalog/solar.png","/images/catalog/web/battery.jpg",YES
"Electrical Materials and Fittings","cat_e_battery_4","Battery","Tiger - Big","MISMATCH","/images/catalog/solar.png","/images/catalog/web/battery.jpg",YES
"Electrical Materials and Fittings","cat_e_battery_5","Battery","Tiger and Tudor","MISMATCH","/images/catalog/solar.png","/images/catalog/web/battery.jpg",YES
"Electrical Materials and Fittings","cat_e_battery_6","Battery","Tiger Head Akaline","MISMATCH","/images/catalog/solar.png","/images/catalog/web/battery.jpg",YES
"Electrical Materials and Fittings","cat_e_battery_7","Battery","Tudor - Big","MISMATCH","/images/catalog/solar.png","/images/catalog/web/battery.jpg",YES
"Electrical Materials and Fittings","cat_e_battery_8","Battery","Tudor - Small","MISMATCH","/images/catalog/solar.png","/images/catalog/web/battery.jpg",YES
"Kitchen Utensils","cat_k_bbq_1","BBQ","Charcoal","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/bbq.jpg",YES
"Kitchen Utensils","cat_k_bbq_2","BBQ","Electrical","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/bbq.jpg",YES
"Kitchen Utensils","cat_k_blender_1","Blender","Master Chef - B115 - 3 in 1 Breakable","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_2","Blender","Master Chef - B136 - 2 in 1","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_3","Blender","Master Chef - B142 - 3 in 1","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_4","Blender","Master Chef - B146 - 3 in 1 Stainless","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_5","Blender","Master Chef - B157 - 2 in 1","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_6","Blender","Master Chef - B159 - 3 in 1 Breakable","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_7","Blender","Master Chef - B181 - 4 in 1 Stainless","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_8","Blender","Master Chef - B651 - 2 in 1 Stainless","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_9","Blender","Master Chef - BL3302 - 2 in 1","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_10","Blender","Rico - 1803 - 3 in 1 - Lock","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_11","Blender","Rico - 1907 - 3 in 1 - Unlock","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_12","Blender","SMP BL-02 - 2in 1","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_13","Blender","VTCL - Excella","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_blender_14","Blender","VTCL - 2008 - 4 in 1 - Smart Leaf","MISMATCH","/images/catalog/blender.png","/images/catalog/web/blender.jpg",YES
"Kitchen Utensils","cat_k_boiling-ring_1","Boiling Ring","Standard","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/boiling-ring.jpg",YES
"Kitchen Utensils","cat_k_bottle_1","Bottle","Nice","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/bottle.jpg",YES
"Kitchen Utensils","cat_k_bowl_1","Bowl","Hana - 4 in 1","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/bowl.jpg",YES
"Kitchen Utensils","cat_k_bowl_2","Bowl","Hana - 5 in 1","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/bowl.jpg",YES
"Kitchen Utensils","cat_k_bowl_3","Bowl","SMP - Fashion Bowl","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/bowl.jpg",YES
"Kitchen Utensils","cat_k_bowl_4","Bowl","SMP with Cover","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/bowl.jpg",YES
"Kitchen Utensils","cat_k_bowl_5","Bowl","Washing Hand Bolw","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/bowl.jpg",YES
"Kitchen Utensils","cat_k_breakable-plate_1","Breakable Plate","Awo","MISMATCH","/images/catalog/plate.png","/images/catalog/web/breakable-plate.jpg",YES
"Kitchen Utensils","cat_k_breakable-plate_2","Breakable Plate","Awo - Pieces","MISMATCH","/images/catalog/plate.png","/images/catalog/web/breakable-plate.jpg",YES
"Kitchen Utensils","cat_k_broom_1","Broom","Spinash","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/broom.jpg",YES
"Kitchen Utensils","cat_k_brush_1","Brush","Big - Toilet","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/brush.jpg",YES
"Kitchen Utensils","cat_k_brush_2","Brush","Feeder Brush","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/brush.jpg",YES
"Kitchen Utensils","cat_k_brush_3","Brush","Scrubbing Brush","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/brush.jpg",YES
"Kitchen Utensils","cat_k_brush_4","Brush","Small - Toilet","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/brush.jpg",YES
"Kitchen Utensils","cat_k_brush_5","Brush","Sweeping Brush","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/brush.jpg",YES
"Kitchen Utensils","cat_k_brush_6","Brush","Toilet - Silicon","NO-IMAGE","/images/catalog/kitchen-placeholder.svg","/images/catalog/web/brush.jpg",YES
